==================================================
 Topology          : 3D Torus 4x4x4 - MiniMD
 Routers           : 64
 Nodes per router  : 2  (local_ports)
 Total nodes       : 128
 Total MPI ranks   : 128
 PPN (ranks/node)  : 2   <-- should be 2
 Stats CSV         : /Users/stephenrajva/Downloads/HPC-Upload 2/SST_Stimulator/MiniMD/Torus/PPN_2/results/minimd_torus_4x4x4_ppn2_nodes128_stats.csv
==================================================
162389915543:0:26:EmberEngine:AllPingPong:generate:59: rank=26 size=128
162389915543:0:28:EmberEngine:AllPingPong:generate:59: rank=28 size=128
162389915543:0:30:EmberEngine:AllPingPong:generate:59: rank=30 size=128
162390431417:0:1:EmberEngine:AllPingPong:generate:59: rank=1 size=128
162390431417:0:3:EmberEngine:AllPingPong:generate:59: rank=3 size=128
162390431417:0:5:EmberEngine:AllPingPong:generate:59: rank=5 size=128
162390431417:0:7:EmberEngine:AllPingPong:generate:59: rank=7 size=128
162390431417:0:9:EmberEngine:AllPingPong:generate:59: rank=9 size=128
162390431417:0:11:EmberEngine:AllPingPong:generate:59: rank=11 size=128
162390431417:0:13:EmberEngine:AllPingPong:generate:59: rank=13 size=128
162390431417:0:15:EmberEngine:AllPingPong:generate:59: rank=15 size=128
162390431417:0:17:EmberEngine:AllPingPong:generate:59: rank=17 size=128
162390431417:0:19:EmberEngine:AllPingPong:generate:59: rank=19 size=128
162390431417:0:21:EmberEngine:AllPingPong:generate:59: rank=21 size=128
162390431417:0:23:EmberEngine:AllPingPong:generate:59: rank=23 size=128
162390431417:0:25:EmberEngine:AllPingPong:generate:59: rank=25 size=128
162390431417:0:27:EmberEngine:AllPingPong:generate:59: rank=27 size=128
162390431417:0:29:EmberEngine:AllPingPong:generate:59: rank=29 size=128
162390431417:0:31:EmberEngine:AllPingPong:generate:59: rank=31 size=128
318233728704:0:96:EmberEngine:AllPingPong:generate:59: rank=96 size=128
318233728704:0:98:EmberEngine:AllPingPong:generate:59: rank=98 size=128
318233728704:0:100:EmberEngine:AllPingPong:generate:59: rank=100 size=128
318233728704:0:102:EmberEngine:AllPingPong:generate:59: rank=102 size=128
318233728704:0:104:EmberEngine:AllPingPong:generate:59: rank=104 size=128
318233728704:0:106:EmberEngine:AllPingPong:generate:59: rank=106 size=128
318233728704:0:108:EmberEngine:AllPingPong:generate:59: rank=108 size=128
318233728704:0:110:EmberEngine:AllPingPong:generate:59: rank=110 size=128
318233728704:0:112:EmberEngine:AllPingPong:generate:59: rank=112 size=128
318233728704:0:114:EmberEngine:AllPingPong:generate:59: rank=114 size=128
318233728704:0:116:EmberEngine:AllPingPong:generate:59: rank=116 size=128
318233728704:0:118:EmberEngine:AllPingPong:generate:59: rank=118 size=128
318233728704:0:120:EmberEngine:AllPingPong:generate:59: rank=120 size=128
318233728704:0:122:EmberEngine:AllPingPong:generate:59: rank=122 size=128
318233728704:0:124:EmberEngine:AllPingPong:generate:59: rank=124 size=128
318233728704:0:126:EmberEngine:AllPingPong:generate:59: rank=126 size=128
318234312612:0:97:EmberEngine:AllPingPong:generate:59: rank=97 size=128
318234312612:0:99:EmberEngine:AllPingPong:generate:59: rank=99 size=128
318234312612:0:101:EmberEngine:AllPingPong:generate:59: rank=101 size=128
318234312612:0:103:EmberEngine:AllPingPong:generate:59: rank=103 size=128
318234312612:0:105:EmberEngine:AllPingPong:generate:59: rank=105 size=128
318234312612:0:107:EmberEngine:AllPingPong:generate:59: rank=107 size=128
318234312612:0:109:EmberEngine:AllPingPong:generate:59: rank=109 size=128
318234312612:0:111:EmberEngine:AllPingPong:generate:59: rank=111 size=128
318234312612:0:113:EmberEngine:AllPingPong:generate:59: rank=113 size=128
318234312612:0:115:EmberEngine:AllPingPong:generate:59: rank=115 size=128
318234312612:0:117:EmberEngine:AllPingPong:generate:59: rank=117 size=128
318234312612:0:119:EmberEngine:AllPingPong:generate:59: rank=119 size=128
318234312612:0:121:EmberEngine:AllPingPong:generate:59: rank=121 size=128
318234312612:0:123:EmberEngine:AllPingPong:generate:59: rank=123 size=128
318234312612:0:125:EmberEngine:AllPingPong:generate:59: rank=125 size=128
318234312612:0:127:EmberEngine:AllPingPong:generate:59: rank=127 size=128
